State,Count
Alabama,19
Alaska,22
Arizona,21
Arkansas,983
California,358
Canal Zone,0
Colorado,73
Connecticut,107
Delaware,0
District of Columbia,496
Florida,38
Georgia,119
Guam,5
Hawaii,11
Idaho,8
Illinois,70
Indiana,586
Iowa,55
Kansas,24
Kentucky,61
Louisiana,3363
Maine,5
Maryland,35
Massachusetts,247
Michigan,26
Minnesota,16
Mississippi,120
Missouri,4
Montana,65
Nebraska,39
Nevada,7
New Hampshire,30
New Jersey,339
New Mexico,10
New York,4397
North Carolina,35
North Dakota,2
Ohio,1071
Oklahoma,2
Oregon,14
Pennsylvania,51
Puerto Rico,1
Rhode Island,11
South Carolina,26
South Dakota,9
Tennessee,83
Texas,204
Utah,1
Vermont,21
Virgin Islands,0
Virginia,29
Washington,945
West Virginia,4
Wisconsin,136
Wyoming,9
